"","country","code","Gender","Age","Household.Income","mean_rating"
"373","Chile","CHL","Male","30-44","$0 - $24,999",3.33333333333333
"374","Chile","CHL","Male","30-44","$100,000 - $149,999",3.71428571428571
"375","Chile","CHL","Male","30-44","$150,000+",3.71428571428571
"376","Chile","CHL","Male","30-44","$25,000 - $49,999",3.72727272727273
"377","Chile","CHL","Male","30-44","$50,000 - $99,999",3.5
"378","Chile","CHL","Male","30-44",NA,3.28571428571429
"379","Chile","CHL","Male","45-60","$0 - $24,999",3.4
"380","Chile","CHL","Male","45-60","$100,000 - $149,999",3.28571428571429
"381","Chile","CHL","Male","45-60","$150,000+",3.4
"382","Chile","CHL","Male","45-60","$25,000 - $49,999",3.18181818181818
"383","Chile","CHL","Male","45-60","$50,000 - $99,999",3.45454545454545
"384","Chile","CHL","Male","45-60",NA,3.28571428571429
"385","China","CHN","Female","> 60","$0 - $24,999",3.57142857142857
"386","China","CHN","Female","> 60","$100,000 - $149,999",3.46666666666667
"387","China","CHN","Female","> 60","$150,000+",4.05555555555556
"388","China","CHN","Female","> 60","$25,000 - $49,999",3.6969696969697
"389","China","CHN","Female","> 60","$50,000 - $99,999",3.60869565217391
"390","China","CHN","Female","> 60",NA,3.75
"391","China","CHN","Female","18-29","$0 - $24,999",3.2962962962963
"392","China","CHN","Female","18-29","$100,000 - $149,999",3.66666666666667
"393","China","CHN","Female","18-29","$150,000+",2.83333333333333
"394","China","CHN","Female","18-29","$25,000 - $49,999",3.57575757575758
"395","China","CHN","Female","18-29","$50,000 - $99,999",3.66666666666667
"396","China","CHN","Female","18-29",NA,3.65625
"397","China","CHN","Female","30-44","$0 - $24,999",4.36363636363636
"398","China","CHN","Female","30-44","$100,000 - $149,999",3.6
"399","China","CHN","Female","30-44","$150,000+",3.38461538461538
"400","China","CHN","Female","30-44","$25,000 - $49,999",3.6
"401","China","CHN","Female","30-44","$50,000 - $99,999",3.47222222222222
"402","China","CHN","Female","30-44",NA,3.46341463414634
"403","China","CHN","Female","45-60","$0 - $24,999",3.875
"404","China","CHN","Female","45-60","$100,000 - $149,999",3.7037037037037
"405","China","CHN","Female","45-60","$150,000+",3.94736842105263
"406","China","CHN","Female","45-60","$25,000 - $49,999",3.92857142857143
"407","China","CHN","Female","45-60","$50,000 - $99,999",3.6304347826087
"408","China","CHN","Female","45-60",NA,3.56
"409","China","CHN","Male","> 60","$0 - $24,999",3.88888888888889
"410","China","CHN","Male","> 60","$100,000 - $149,999",4
"411","China","CHN","Male","> 60","$150,000+",4.09523809523809
